Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,source_file
112,Juan Musso,ar ARG,GK,Atalanta,it Serie A,30-363,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
113,Juan Musso,ar ARG,GK,Atlético Madrid,es La Liga,30-363,1994,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
114,Neto,br BRA,GK,Bournemouth,eng Premier League,35-289,1989,2,2,180,2.0,2,1.00,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
115,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,39-038,1986,20,20,1800,20.0,15,0.75,37,22,62.2,16,4,0,11,55.0,2,1,0,1,0.0,player_goalkeeping_big5.csv
116,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,27-195,1997,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0.0,player_goalkeeping_big5.csv
117,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,28-216,1996,32,32,2880,32.0,51,1.59,131,80,62.6,12,8,12,6,18.8,3,2,1,0,33.3,player_goalkeeping_big5.csv
118,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,34-236,1990,26,26,2313,25.7,32,1.25,96,64,69.8,7,9,10,6,23.1,4,3,1,0,25.0,player_goalkeeping_big5.csv
119,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,32-117,1993,33,33,2970,33.0,27,0.82,103,78,78.6,18,10,5,14,42.4,5,5,0,0,0.0,player_goalkeeping_big5.csv
120,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,25-249,1999,22,22,1980,22.0,33,1.50,90,60,67.8,6,4,12,4,18.2,5,4,0,1,0.0,player_goalkeeping_big5.csv
121,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,35-116,1990,3,1,180,2.0,4,2.00,9,5,55.6,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
122,Jonas Omlin,ch SUI,GK,Gladbach,de Bundesliga,31-114,1994,10,9,798,8.9,23,2.59,57,33,63.2,2,1,6,1,11.1,3,2,1,0,33.3,player_goalkeeping_big5.csv
123,André Onana,cm CMR,GK,Manchester Utd,eng Premier League,29-032,1996,33,33,2970,33.0,43,1.30,129,86,69.0,10,9,14,9,27.3,4,3,1,0,25.0,player_goalkeeping_big5.csv
124,Stefan Ortega,de GER,GK,Manchester City,eng Premier League,32-179,1992,13,12,1100,12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,player_goalkeeping_big5.csv
125,Jesús Owono,gq EQG,GK,Alavés,es La Liga,24-064,2001,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_big5.csv
126,Daniele Padelli,it ITA,GK,Udinese,it Serie A,39-191,1985,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
