Rk,Player,Nation,Pos,Squad,Comp,AGE,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
147,David Raya,es ESP,GK,Arsenal,eng Premier League,29.63287671,1995,35,35,3150,35,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0
148,Pepe Reina,es ESP,GK,Como,it Serie A,42.6739726,1982,10,10,900,10,12,1.2,35,23,68.6,2,4,4,2,20,1,1,0,0,0
149,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30.11232877,1995,32,32,2880,32,36,1.13,115,78,73,12,6,14,12,37.5,6,5,1,0,16.7
150,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20.14794521,2005,27,27,2363,26.3,33,1.26,84,53,61.9,8,6,13,8,29.6,2,1,1,0,50
151,Adrian Rodriguez,es ESP,GK,Alavés,es La Liga,24.39178082,2000,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100,1,1,0,0,0
152,Leo Román,es ESP,GK,Mallorca,es La Liga,24.82739726,2000,6,6,540,6,8,1.33,37,29,81.1,2,1,3,2,33.3,1,1,0,0,0
153,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,32.95616438,1992,31,31,2790,31,43,1.39,128,84,68.8,18,4,9,5,16.1,6,3,3,0,50
154,Mathew Ryan,au AUS,GK,Lens,fr Ligue 1,33.07123288,1992,11,11,990,11,15,1.36,48,32,72.9,6,0,5,5,45.5,3,2,1,0,33.3
155,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,32.74794521,1992,27,27,2430,27,34,1.26,107,70,69.2,8,11,8,8,29.6,5,1,4,0,80
156,José Sá,pt POR,GK,Wolves,eng Premier League,32.29315068,1993,27,27,2430,27,45,1.67,108,63,62,11,4,12,7,25.9,6,4,2,0,33.3
157,Matvei Safonov,ru RUS,GK,Paris S-G,fr Ligue 1,26.18630137,1999,10,9,879,9.8,9,0.92,25,17,72,7,1,1,3,33.3,2,2,0,0,0
158,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31.02465753,1994,15,15,1350,15,23,1.53,71,47,67.6,6,0,9,4,26.7,1,0,1,0,100
159,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,31.02465753,1994,15,15,1350,15,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0
