Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
10,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,14,895,64,62.2,9.9,11,72,1,3,33,2,1.14,14,16,-2,-0.20,+0.13,11.5,14.1,-2.6,-0.26,-0.13,Matches
11,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,3,22,7,1.5,0.2,0,,0,3,7,2,2.00,1,2,-1,-4.09,-4.28,0.6,0.2,+0.4,+1.75,+1.55,Matches
12,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,1,10,10,0.7,0.1,0,,0,1,10,1,0.00,0,0,0,0.00,+0.82,0.2,0.1,+0.2,+1.37,+1.86,Matches
13,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16,1440,90,100.0,16.0,16,90,16,0,,0,0.94,11,19,-8,-0.50,,16.2,22.6,-6.4,-0.40,,Matches
14,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,13,1010,78,70.1,11.2,12,82,9,1,27,3,1.85,11,6,+5,+0.45,-1.02,17.8,10.2,+7.6,+0.67,+0.29,Matches
15,Mateo Acuña,ar ARG,DF,Vélez Sarsfield,19-083,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
16,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,4,97,24,6.7,1.1,0,,0,4,24,5,1.75,1,1,0,0.00,+0.20,1.2,0.9,+0.4,+0.33,+0.42,Matches
17,Damián Adín,ar ARG,DF,San Martín de San Juan,28-057,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
18,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,11,479,44,33.3,5.3,7,61,0,4,13,5,1.18,6,7,-1,-0.19,+0.19,4.9,7.5,-2.5,-0.48,-0.04,Matches
19,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,13,743,57,51.6,8.3,7,89,6,6,21,2,2.00,12,6,+6,+0.73,-0.18,10.4,8.3,+2.1,+0.26,-0.08,Matches
20,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14,1260,90,87.5,14.0,14,90,14,0,,1,1.29,20,19,+1,+0.07,+1.07,18.6,17.2,+1.4,+0.10,-0.64,Matches
21,Brian Aguilar,ar ARG,DF,Lanús,22-022,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
22,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,13,998,77,69.3,11.1,12,82,10,1,9,0,1.31,13,15,-2,-0.18,+0.23,10.6,13.1,-2.5,-0.23,+0.56,Matches
23,Brian Aguirre,ar ARG,FW,Boca Juniors,21-338,2003,6,121,20,8.4,1.3,1,64,0,5,11,10,2.17,3,0,+3,+2.23,+1.55,1.3,1.1,+0.2,+0.17,-0.14,Matches
24,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23-255,2001,11,389,35,27.0,4.3,5,50,0,6,23,2,1.64,8,5,+3,+0.69,+0.78,4.5,4.4,+0.1,+0.02,-0.19,Matches
25,Gabriel Alanís,ar ARG,FW,Huracán,31-050,1994,13,927,71,64.4,10.3,12,73,1,1,53,2,1.92,13,6,+7,+0.68,+0.68,11.0,8.9,+2.2,+0.21,-0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Agustín Alaniz,uy URU,"FW,MF",Banfield,22-354,2002,15,1000,67,69.4,11.1,11,82,3,4,25,1,0.87,12,12,0,0.00,+1.02,10.5,15.5,-5.0,-0.45,0.00,Matches
27,Fernando Alarcón,ar ARG,DF,Instituto,30-323,1994,16,1440,90,100.0,16.0,16,90,16,0,,0,1.13,16,20,-4,-0.25,,16.2,18.2,-2.0,-0.12,,Matches
28,William Alarcón,cl CHI,MF,Boca Juniors,24-166,2000,8,437,55,30.3,4.9,5,73,3,3,25,1,2.38,8,3,+5,+1.03,+0.31,6.4,5.1,+1.3,+0.26,-0.05,Matches
29,Lucas Alario,ar ARG,FW,Estudiantes–LP,32-209,1992,12,601,50,41.7,6.7,7,71,1,5,21,3,1.25,8,5,+3,+0.45,+0.88,8.9,4.6,+4.3,+0.65,+0.80,Matches
30,Gustavo Albarracín,ar ARG,MF,Talleres,19-007,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
31,Lorenzo Albarracín,ar ARG,FW,Instituto,18-077,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
32,Franco Alfonso,ar ARG,"FW,MF",Cen. Córdoba–SdE,23-001,2002,5,198,40,13.8,2.2,1,90,1,4,27,6,1.40,3,3,0,0.00,+0.07,2.9,1.9,+1.0,+0.46,+0.32,Matches
33,Rodrigo Aliendro,ar ARG,MF,River Plate,34-078,1991,11,482,44,33.5,5.4,5,70,1,6,22,4,1.91,6,2,+4,+0.75,0.00,9.3,4.3,+5.0,+0.93,+0.52,Matches
