Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
106,Néstor Breitenbruch,ar ARG,DF,Aldosivi,29-234,1995,14.9,0,9,3,33.3,0.60,0.20,0.00,0.00,20.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
107,Leandro Brey,ar ARG,GK,Boca Juniors,22-226,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,Norberto Briasco,am ARM,"FW,MF",Gimnasia–LP,29-065,1996,2.6,0,4,2,50.0,1.51,0.76,0.00,0.00,14.6,1,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
109,Elías Brito,ar ARG,DF,Lanús,19-272,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Miguel Brizuela,ar ARG,DF,Atlé Tucumán,28-120,1997,11.9,1,9,1,11.1,0.76,0.08,0.11,1.00,12.5,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
111,Manuel Brondo,ar ARG,"FW,MF",Arg Juniors,23-069,2002,0.7,0,3,0,0.0,4.03,0.00,0.00,,12.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
112,Jorge Broun,ar ARG,GK,Rosario Central,38-344,1986,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,Facundo Bruera,ar ARG,"FW,MF",Barracas Central,26-224,1998,7.1,5,24,10,41.7,3.36,1.40,0.21,0.50,18.3,0,0,0,3.1,3.1,0.13,+1.9,+1.9,Matches
114,Valentín Burgoa,ar ARG,"MF,FW",Sarmiento,25-117,2000,6.8,1,12,6,50.0,1.76,0.88,0.08,0.17,27.2,1,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
115,Esteban Burgos,ar ARG,DF,San Martín de San Juan,33-116,1992,8.1,0,4,1,25.0,0.49,0.12,0.00,0.00,14.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
116,Joaquín Burgos,ar ARG,"FW,MF",Estudiantes–LP,20-142,2004,5.3,2,8,4,50.0,1.52,0.76,0.25,0.50,18.6,1,0,0,0.7,0.7,0.08,+1.3,+1.3,Matches
117,Javier Burrai,ec ECU,GK,Talleres,34-208,1990,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Fabricio Bustos,ar ARG,DF,River Plate,29-007,1996,5.3,0,4,0,0.0,0.76,0.00,0.00,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
119,Nahuel Bustos,ar ARG,"FW,MF",Talleres,26-305,1998,8.2,0,21,6,28.6,2.56,0.73,0.00,0.00,21.4,3,0,1,2.6,1.8,0.09,-2.6,-1.8,Matches
120,Favio Cabral,ar ARG,FW,Cen. Córdoba–SdE,24-089,2001,3.8,1,3,1,33.3,0.78,0.26,0.33,1.00,9.9,0,0,0,0.6,0.6,0.21,+0.4,+0.4,Matches
121,Luciano Cabral,cl CHI,MF,Independiente,30-009,1995,8.4,2,18,3,16.7,2.15,0.36,0.11,0.67,19.2,0,0,0,1.8,1.8,0.10,+0.2,+0.2,Matches
122,Rodrigo Cabral,ar ARG,"FW,MF",Huracán,24-270,2000,2.5,1,8,2,25.0,3.19,0.80,0.13,0.50,17.8,0,0,0,1.4,1.4,0.17,-0.4,-0.4,Matches
