Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
801,Axel Werner,ar ARG,GK,Rosario Central,29-066,1996,2.0,29,43,67.4,871,665,4,4,100.0,15,15,100.0,10,24,41.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
802,Bastián Yañez,cl CHI,"MF,FW",Godoy Cruz,23-318,2001,7.8,193,257,75.1,3183,887,106,119,89.1,61,76,80.3,20,42,47.6,1,0.7,0.5,+0.3,11,23,7,4,30,Matches
803,Daniel Zabala,ar ARG,DF,Huracán,22-108,2003,1.1,45,49,91.8,912,268,12,13,92.3,25,25,100.0,7,10,70.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches
804,David Zalazar,ar ARG,"MF,FW",Cen. Córdoba–SdE,22-361,2002,1.5,61,82,74.4,1353,504,20,25,80.0,29,36,80.6,11,17,64.7,0,0.1,0.3,-0.1,3,11,2,1,14,Matches
805,Maximiliano Zalazar,ar ARG,"FW,MF",Tigre,24-058,2001,1.5,20,31,64.5,329,94,11,13,84.6,5,8,62.5,3,8,37.5,0,0.0,0.1,0.0,0,1,1,0,1,Matches
806,Nicolás Zalazar,ar ARG,DF,Instituto,28-096,1997,7.7,222,320,69.4,4962,2205,61,76,80.3,120,147,81.6,41,87,47.1,0,0.1,0.3,-0.1,1,36,2,0,36,Matches
807,Franco Zapiola,ar ARG,"FW,MF",Platense,24-075,2001,8.1,164,263,62.4,2772,1145,83,118,70.3,55,84,65.5,22,48,45.8,0,2.4,2.0,-2.4,15,30,11,5,26,Matches
808,Federico Zaracho,ar ARG,MF,Racing Club,27-056,1998,4.7,151,180,83.9,2635,807,71,81,87.7,65,68,95.6,13,19,68.4,2,1.5,0.8,+0.5,11,19,6,3,24,Matches
809,Exequiel Zeballos,ar ARG,"FW,MF",Boca Juniors,23-011,2002,6.4,128,173,74.0,1993,472,80,97,82.5,34,46,73.9,12,20,60.0,1,0.7,0.9,+0.3,8,6,4,2,18,Matches
810,Gonzalo Zelarayán,ar ARG,MF,Belgrano,21-007,2004,0.1,6,11,54.5,100,61,3,4,75.0,2,2,100.0,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
811,Lucas Zelarayán,am ARM,MF,Belgrano,32-319,1992,9.0,350,477,73.4,6225,2711,175,191,91.6,103,141,73.0,60,113,53.1,2,2.5,2.8,-0.5,28,51,22,6,62,Matches
812,Felipe Zenobio,ar ARG,GK,Tigre,24-348,2000,16.0,270,393,68.7,8716,6449,27,27,100.0,135,135,100.0,108,231,46.8,0,0.0,0.0,0.0,0,15,1,0,0,Matches
813,Kevin Zenon,ar ARG,"MF,FW",Boca Juniors,23-279,2001,9.2,292,427,68.4,5618,1457,117,138,84.8,123,158,77.8,42,93,45.2,0,1.6,1.5,-1.6,18,40,11,7,57,Matches
814,Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,23-328,2001,2.0,29,40,72.5,795,619,13,13,100.0,7,8,87.5,9,18,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
815,Bruno Zuculini,ar ARG,MF,Racing Club,32-033,1993,2.3,65,85,76.5,1124,469,31,39,79.5,25,31,80.6,8,8,100.0,2,0.5,0.2,+1.5,3,12,2,1,11,Matches
