Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
61,Adrián Balboa,uy URU,FW,Racing Club,31-106,1994,13,5,556,6.2,3,0,3,3,0,0,2,0,3.6,3.6,0.1,3.6,2,9,25,0.49,0.00,0.49,0.49,0.49,0.58,0.01,0.59,0.58,0.59,Matches
62,Franco Baldassarra,ar ARG,MF,Platense,26-218,1998,4,1,155,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,5,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
63,Éver Banega,ar ARG,MF,Newell's OB,36-310,1988,15,14,1246,13.8,1,4,5,1,0,1,7,0,1.5,0.7,4.7,5.4,33,131,25,0.07,0.29,0.36,0.07,0.36,0.11,0.34,0.45,0.05,0.39,Matches
64,Nahuel Banegas,ar ARG,DF,Tigre,28-211,1996,14,14,1205,13.4,0,1,1,0,0,0,5,0,1.0,1.0,1.8,2.8,26,67,84,0.00,0.07,0.07,0.00,0.07,0.08,0.14,0.21,0.08,0.21,Matches
65,Juan Barbieri,ar ARG,FW,Ind. Rivadavia,28-230,1996,11,3,440,4.9,2,1,3,2,0,0,1,0,1.2,1.2,0.2,1.4,3,9,24,0.41,0.20,0.61,0.41,0.61,0.24,0.04,0.29,0.24,0.29,Matches
66,David Barbona,ar ARG,"MF,FW",Defensa y Just,30-072,1995,8,1,231,2.6,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.3,14,27,17,0.00,0.00,0.00,0.00,0.00,0.13,0.39,0.52,0.13,0.52,Matches
67,Juan Barinaga,ar ARG,DF,Boca Juniors,24-207,2000,3,2,204,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,7,6,12,0.00,0.00,0.00,0.00,0.00,0.04,0.19,0.23,0.04,0.23,Matches
68,Williams Barlasina,ar ARG,GK,Aldosivi,26-310,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Daniel Barrea,ar ARG,"FW,MF",Godoy Cruz,23-287,2001,10,5,448,5.0,0,0,0,0,0,0,3,0,1.3,1.3,0.6,2.0,7,12,35,0.00,0.00,0.00,0.00,0.00,0.27,0.13,0.40,0.27,0.40,Matches
70,Diego Barrera,ar ARG,"MF,FW",Cen. Córdoba–SdE,20-317,2004,11,1,339,3.8,1,0,1,1,0,0,0,0,0.9,0.9,1.0,1.8,18,10,49,0.27,0.00,0.27,0.27,0.27,0.23,0.26,0.49,0.23,0.49,Matches
71,Alan Barrionuevo,ar ARG,DF,Tigre,28-123,1997,3,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
72,Martín Barrios,uy URU,MF,Racing Club,26-101,1999,13,3,438,4.9,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.6,6,14,11,0.21,0.00,0.21,0.21,0.21,0.07,0.06,0.13,0.07,0.13,Matches
73,Nahuel Barrios,ar ARG,"MF,FW",Barracas Central,26-363,1998,15,9,664,7.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,30,47,29,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
74,Rafael Barrios,ar ARG,DF,Barracas Central,31-347,1993,10,3,364,4.0,0,0,0,0,0,0,3,0,0.6,0.6,0.0,0.6,9,3,25,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
75,Bautista Barros Schelotto,ar ARG,DF,Platense,25-112,2000,6,3,405,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,14,9,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Damián Batallini,ar ARG,"MF,FW",Instituto,28-315,1996,12,10,717,8.0,2,0,2,2,0,0,3,0,1.1,1.1,0.9,2.0,17,14,46,0.25,0.00,0.25,0.25,0.25,0.14,0.12,0.25,0.14,0.25,Matches
77,Rodrigo Battaglia,ar ARG,"DF,MF",Boca Juniors,33-297,1991,12,9,907,10.1,1,0,1,1,0,0,4,0,1.0,0.8,0.0,0.8,10,23,3,0.10,0.00,0.10,0.10,0.10,0.09,0.00,0.10,0.08,0.08,Matches
78,Juan Bautista Cejas,ar ARG,"FW,MF",Godoy Cruz,27-060,1998,2,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
