Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
118,Fabricio Bustos,ar ARG,DF,River Plate,29-007,1996,5.3,13,9,5,5,3,6,10,60.0,4,10,0,10,3,16,15,1,Matches
119,Nahuel Bustos,ar ARG,"FW,MF",Talleres,26-305,1998,8.2,3,0,1,1,1,2,4,50.0,2,10,2,8,1,4,6,0,Matches
120,Favio Cabral,ar ARG,FW,Cen. Córdoba–SdE,24-089,2001,3.8,7,3,0,4,3,3,5,60.0,2,3,0,3,1,8,3,0,Matches
121,Luciano Cabral,cl CHI,MF,Independiente,30-009,1995,8.4,12,6,1,9,2,4,8,50.0,4,8,0,8,4,16,6,0,Matches
122,Rodrigo Cabral,ar ARG,"FW,MF",Huracán,24-270,2000,2.5,8,7,3,5,0,4,7,57.1,3,4,0,4,4,12,3,0,Matches
123,Yonathan Cabral,ar ARG,"DF,FW",Aldosivi,32-360,1992,3.4,7,7,7,0,0,5,6,83.3,1,4,3,1,1,8,21,1,Matches
124,Bruno Cabrera,ar ARG,FW,Lanús,21-318,2003,2.2,1,0,0,1,0,0,2,0.0,2,4,0,4,1,2,0,0,Matches
125,Elías Cabrera,ar ARG,"MF,FW",Tigre,22-069,2003,10.9,16,7,3,10,3,6,13,46.2,7,7,0,7,10,26,4,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Lisandro Cabrera,ar ARG,"FW,MF",Atlé Tucumán,27-121,1998,4.2,3,3,2,1,0,1,3,33.3,2,3,0,3,0,3,7,0,Matches
127,Juan Cáceres,py PAR,DF,Lanús,24-338,2000,3.0,10,5,5,5,0,5,8,62.5,3,4,2,2,4,14,19,0,Matches
128,Brian Calderara,ar ARG,DF,Newell's OB,26-217,1998,0.8,3,2,2,1,0,1,3,33.3,2,2,0,2,0,3,5,0,Matches
129,Facundo Cambeses,ar ARG,GK,Racing Club,28-026,1997,4.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches
130,Juan Camilo Portilla,co COL,MF,Talleres,26-235,1998,9.3,18,12,3,14,1,9,17,52.9,8,8,1,7,16,34,19,1,Matches
131,Jaminton Campaz,co COL,"FW,MF",Rosario Central,24-346,2000,9.7,24,19,12,8,4,8,17,47.1,9,5,0,5,5,29,3,0,Matches
132,Jhonatan Candia,uy URU,"FW,MF",Barracas Central,30-051,1995,10.5,7,4,0,3,4,4,11,36.4,7,6,2,4,2,9,6,0,Matches
133,Alexis Canelo,ar ARG,FW,Lanús,33-091,1992,2.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
134,Ezequiel Cañete,ar ARG,MF,Unión,25-322,1999,0.3,3,2,0,3,0,0,1,0.0,1,1,0,1,0,3,0,0,Matches
135,Ezequiel Cannavo,ar ARG,DF,Defensa y Just,22-327,2002,12.4,40,29,26,11,3,20,29,69.0,9,12,4,8,15,55,61,0,Matches
136,Víctor Cantillo,co COL,"MF,FW",Huracán,31-202,1993,0.3,2,0,1,1,0,0,0,,0,1,1,0,3,5,3,0,Matches
137,Giovanni Cantizano,ar ARG,FW,Rosario Central,18-045,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
138,Nicolás Capraro,ar ARG,DF,Barracas Central,27-063,1998,1.5,2,2,2,0,0,0,2,0.0,2,1,1,0,6,8,3,0,Matches
139,Gabriel Carabajal,ar ARG,"MF,FW",Sarmiento,33-147,1991,8.4,5,3,3,1,1,3,14,21.4,11,6,0,6,8,13,15,0,Matches
140,Mauricio Cardillo,ar ARG,MF,Ind. Rivadavia,22-055,2003,9.0,24,14,18,6,0,13,21,61.9,8,8,1,7,7,31,11,0,Matches
141,Tomás Cardona,ar ARG,DF,Talleres,29-207,1995,2.0,2,2,0,2,0,1,1,100.0,0,1,1,0,0,2,12,1,Matches
142,Agustín Cardozo,ar ARG,MF,Lanús,27-340,1997,13.4,19,13,8,10,1,12,22,54.5,10,18,2,16,13,32,15,0,Matches
143,Juan Cardozo,py PAR,MF,Arg Juniors,21-070,2004,1.3,6,5,1,4,1,1,3,33.3,2,3,0,3,0,6,5,0,Matches
144,Leonel Cardozo,ar ARG,DF,Lanús,21-116,2004,1.1,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,3,0,Matches
145,Thiago Cardozo,uy URU,GK,Unión,28-278,1996,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
146,Jan Carlos Hurtado,ve VEN,FW,Gimnasia–LP,25-061,2000,4.0,3,1,0,3,0,0,1,0.0,1,2,0,2,1,4,4,0,Matches
147,Nicolás Caro,ar ARG,DF,Deportivo Riestra,30-001,1995,8.2,6,6,4,2,0,5,8,62.5,3,8,6,2,6,12,61,0,Matches
148,Jorge Carranza,ar ARG,GK,Aldosivi,43-363,1981,12.0,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,9,1,Matches
149,Ramiro Carrera,ar ARG,"MF,FW",Lanús,31-193,1993,8.5,18,6,9,7,2,11,22,50.0,11,13,3,10,5,23,14,0,Matches
150,Guido Carrillo,ar ARG,FW,Estudiantes–LP,33-345,1991,8.2,2,1,0,1,1,1,2,50.0,1,2,1,1,2,4,13,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
