Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
119,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-256,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-338,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
121,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-338,1996,25.7,30,1.17,23,1,0,6,0,0,2,0.08,1,1,0,0,0,0,Matches
122,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-179,2002,26.4,76,2.88,37,18,7,6,3,5,10,0.38,4,3,0,1,1,1,Matches
123,André,br BRA,MF,Wolves,eng Premier League,23-292,2001,25.0,45,1.80,37,3,1,0,0,4,3,0.12,2,1,0,0,0,0,Matches
124,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-274,1990,27.9,48,1.72,43,0,0,2,3,0,9,0.32,6,0,0,2,1,0,Matches
125,Marcos André,br BRA,FW,Valladolid,es La Liga,28-196,1996,13.1,19,1.45,15,0,3,0,1,0,1,0.08,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,30-224,1994,16.5,33,2.00,25,0,1,5,1,1,4,0.24,3,0,0,1,0,0,Matches
127,Angeliño,es ESP,DF,Roma,it Serie A,28-120,1997,31.3,76,2.43,59,12,2,0,3,0,6,0.19,5,0,0,0,1,0,Matches
128,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,20-067,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-162,2001,11.6,32,2.77,24,1,3,1,2,1,5,0.43,4,0,0,0,0,1,Matches
130,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-288,1996,19.7,40,2.04,31,0,6,2,0,1,5,0.25,4,0,0,1,0,0,Matches
131,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-111,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
132,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,17-120,2008,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,35-037,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
134,Antoniu,es ESP,"MF,FW",Espanyol,es La Liga,22-241,2002,9.1,22,2.42,10,0,6,0,4,2,1,0.11,1,0,0,0,0,0,Matches
135,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,25-069,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
136,Antony,br BRA,FW,Betis,es La Liga,25-069,2000,11.2,63,5.60,48,4,4,4,3,0,9,0.80,6,0,1,2,0,0,Matches
137,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,30-109,1995,16.6,23,1.38,15,1,2,0,5,0,4,0.24,1,0,2,0,1,0,Matches
138,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-329,1992,21.6,35,1.62,29,3,2,0,0,1,3,0.14,2,1,0,0,0,0,Matches
139,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,27-093,1998,2.0,1,0.51,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-216,1995,26.9,52,1.93,32,0,3,6,9,2,3,0.11,1,0,0,2,0,0,Matches
