Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
93,Zé Carlos,pt POR,"MF,DF",Vitória,23-187,2001,1.4,65,82,79.3,894,371,40,46,87.0,21,25,84.0,3,7,42.9,0,0.0,0.0,0.0,1,6,0,0,7,Matches
94,Zé Carlos,pt POR,MF,Farense,23-187,2001,7.4,219,282,77.7,3592,1123,104,119,87.4,90,107,84.1,17,34,50.0,0,0.1,0.2,-0.1,3,25,4,0,27,Matches
95,Zé Carlos,pt POR,DF,Gil Vicente FC,26-278,1998,28.1,1132,1523,74.3,19353,6690,506,575,88.0,518,658,78.7,85,208,40.9,0,1.9,2.5,-1.9,20,62,19,10,86,Matches
96,Álvaro Carreras,es ESP,DF,Benfica,22-043,2003,28.6,1581,1946,81.2,28169,9963,715,798,89.6,698,810,86.2,144,252,57.1,1,2.9,2.4,-1.9,32,168,34,13,184,Matches
97,João Carvalho,pt POR,"MF,FW",Estoril,28-057,1997,24.0,738,977,75.5,12703,4163,349,422,82.7,288,345,83.5,80,144,55.6,2,3.3,3.3,-1.3,27,98,30,0,125,Matches
98,Pedro Carvalho,pt POR,"DF,MF",Estoril,22-080,2003,7.1,290,392,74.0,4504,1735,170,192,88.5,96,135,71.1,17,41,41.5,0,0.6,0.7,-0.6,4,9,9,0,31,Matches
99,Vitor Carvalho,br BRA,MF,Braga,27-343,1997,16.5,706,864,81.7,13278,2839,263,307,85.7,344,395,87.1,85,123,69.1,0,0.6,0.9,-0.6,8,62,5,0,80,Matches
100,Facundo Cáseres,ar ARG,MF,Gil Vicente FC,23-342,2001,13.8,683,752,90.8,12143,2784,270,284,95.1,337,357,94.4,58,79,73.4,0,0.7,1.4,-0.7,6,45,1,0,54,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Cassiano,br BRA,FW,Casa Pia,35-323,1989,20.0,143,243,58.8,1874,429,82,116,70.7,47,75,62.7,4,14,28.6,1,1.2,0.9,-0.2,14,9,7,2,19,Matches
102,Jesús Castillo,pe PER,MF,Gil Vicente FC,23-328,2001,9.1,367,450,81.6,7256,2251,124,140,88.6,188,215,87.4,50,81,61.7,0,0.9,0.8,-0.9,9,25,6,0,37,Matches
103,André Castro,pt POR,MF,Moreirense,37-033,1988,0.2,7,8,87.5,96,4,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
104,Cristian Castro,co COL,DF,AVS Futebol,24-100,2001,27.6,1079,1254,86.0,21318,8233,349,374,93.3,595,639,93.1,125,221,56.6,1,1.3,0.7,-0.3,6,51,3,1,58,Matches
105,Geny Catamo,mz MOZ,"MF,DF",Sporting CP,24-099,2001,19.3,724,916,79.0,10870,3054,420,472,89.0,250,308,81.2,38,77,49.4,2,4.6,4.4,-2.6,26,54,39,7,101,Matches
106,Cauê,br BRA,FW,Gil Vicente FC,22-170,2002,7.4,102,139,73.4,1341,289,54,68,79.4,29,39,74.4,5,5,100.0,0,0.1,0.1,-0.1,1,10,4,0,12,Matches
107,Cauê,br BRA,"FW,MF",Casa Pia,22-170,2002,3.9,43,62,69.4,720,206,21,29,72.4,14,18,77.8,6,9,66.7,0,0.0,0.0,0.0,0,4,0,0,8,Matches
108,César,br BRA,GK,Boavista,33-098,1992,16.0,220,380,57.9,7117,5784,36,36,100.0,70,73,95.9,112,262,42.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
