Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
129,Hjalmar Ekdal,se SWE,DF,Groningen,26-196,1998,11.0,18,12,8,10,0,12,12,100.0,0,9,4,5,12,30,75,0,Matches
130,Úmaro Embaló,pt POR,FW,Fortuna Sittard,23-364,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
131,Noam Emeran,fr FRA,"DF,MF",Groningen,22-223,2002,0.7,2,2,0,2,0,1,3,33.3,2,2,0,2,3,5,0,0,Matches
132,Mario Engels,de GER,"FW,MF",Heracles Almelo,31-195,1993,23.3,22,17,10,6,6,6,14,42.9,8,11,0,11,8,30,14,0,Matches
133,Alonzo Engwanda,be BEL,"MF,DF",Utrecht,22-098,2003,11.1,36,26,13,20,3,10,21,47.6,11,13,2,11,27,63,26,1,Matches
134,Ante Erceg,hr CRO,"FW,MF",Fortuna Sittard,35-144,1989,3.2,4,2,2,1,1,1,2,50.0,1,2,0,2,0,4,1,0,Matches
135,Luca Everink,nl NED,DF,Go Ahead Eag,24-085,2001,0.6,1,1,1,0,0,0,0,,0,1,0,1,0,1,8,0,Matches
136,Juan Familia-Castillo,nl NED,DF,RKC Waalwijk,25-112,2000,14.4,31,24,22,9,0,19,33,57.6,14,23,5,18,8,39,56,1,Matches
137,Kevin Felida,cw CUW,"MF,FW",RKC Waalwijk,25-175,1999,4.7,12,6,7,4,1,9,13,69.2,4,13,1,12,3,15,6,1,Matches
138,Saná Fernandes,pt POR,"FW,MF",NAC Breda,19-056,2006,5.2,8,6,3,3,2,4,6,66.7,2,2,0,2,4,12,1,0,Matches
139,Nick Fichtinger,nl NED,MF,Zwolle,21-029,2004,9.5,49,38,20,20,9,14,38,36.8,24,22,9,13,9,58,28,0,Matches
140,Kolbeinn Finnsson,is ISL,DF,Utrecht,25-253,1999,1.0,5,5,5,0,0,4,5,80.0,1,3,2,1,0,5,7,0,Matches
141,Kian Fitz-Jim,nl NED,MF,Ajax,21-304,2003,12.7,26,14,7,13,6,12,29,41.4,17,17,3,14,10,36,13,1,Matches
142,Ryan Flamingo,nl NED,DF,PSV Eindhoven,22-125,2002,29.7,43,25,23,17,3,22,32,68.8,10,40,18,22,37,80,132,3,Matches
143,Sherel Floranus,cw CUW,DF,Almere City,26-255,1998,2.0,5,4,4,1,0,3,7,42.9,4,3,2,1,3,8,7,0,Matches
144,Sherel Floranus,cw CUW,DF,Zwolle,26-255,1998,17.0,33,22,16,14,3,14,25,56.0,11,18,6,12,24,57,86,0,Matches
145,Carlos Forbs,pt POR,FW,Ajax,21-047,2004,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
146,Ryan Fosso,ch SUI,MF,Fortuna Sittard,22-322,2002,26.3,34,19,11,21,2,13,31,41.9,18,25,9,16,40,74,45,2,Matches
147,Oscar Fraulo,dk DEN,MF,Utrecht,21-150,2003,16.3,29,16,11,13,5,9,31,29.0,22,17,2,15,20,49,37,0,Matches
148,Anton Gaaei,dk DEN,DF,Ajax,22-167,2002,17.8,29,18,12,12,5,15,20,75.0,5,14,1,13,12,41,41,0,Matches
149,Matt Garbett,nz NZL,"FW,MF",NAC Breda,23-022,2002,6.4,8,5,5,2,1,4,15,26.7,11,6,0,6,5,13,2,1,Matches
150,Anselmo García MacNulty,ie IRL,DF,Zwolle,22-075,2003,31.0,32,16,27,4,1,20,27,74.1,7,40,24,16,31,63,190,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Stijn van Gassel,nl NED,GK,NEC Nijmegen,28-199,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
152,Lutsharel Geertruida,nl NED,DF,Feyenoord,24-291,2000,3.0,4,3,2,1,1,2,3,66.7,1,1,0,1,3,7,2,0,Matches
153,Liam van Gelderen,nl NED,DF,RKC Waalwijk,24-043,2001,27.0,53,33,46,4,3,29,37,78.4,8,39,21,18,48,101,167,1,Matches
154,Djomar Giersthove,nl NED,DF,Feyenoord,20-061,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
155,Teun Gijselhart,nl NED,MF,Zwolle,20-029,2005,0.3,3,2,1,2,0,2,3,66.7,1,0,0,0,0,3,1,0,Matches
156,Santiago Giménez,mx MEX,FW,Feyenoord,24-017,2001,8.5,5,2,0,2,3,0,1,0.0,1,5,0,5,0,5,5,0,Matches
157,Mika Godts,be BEL,FW,Ajax,19-332,2005,16.8,21,11,10,7,4,8,19,42.1,11,18,2,16,4,25,10,1,Matches
