Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
250,Damián Fernández,ar ARG,DF,Vélez Sarsfield,24-123,2001,10.5,650,60,338,297,18,5,650,1,0,0.0,1,100.0,334,1710,995,3,2,0,8,2,363,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
251,Gustavo Fernández,ar ARG,FW,Deportivo Riestra,34-274,1990,0.8,28,0,1,11,16,4,28,1,0,0.0,1,100.0,16,72,22,2,0,2,1,6,25,5,Matches
252,Ignacio Fernández,ar ARG,MF,River Plate,35-113,1990,2.4,165,1,26,96,44,3,165,9,3,33.3,6,66.7,99,446,192,4,2,0,7,0,120,15,Matches
253,Manuel Fernández,ar ARG,FW,Vélez Sarsfield,20-209,2004,0.5,20,1,4,4,12,1,20,3,2,66.7,1,33.3,12,64,22,1,0,1,2,1,15,4,Matches
254,Martín Fernández,uy URU,MF,Gimnasia–LP,23-362,2001,7.5,321,10,84,206,35,1,321,7,3,42.9,4,57.1,140,563,251,1,3,1,4,2,166,1,Matches
255,Matías Fernández,ar ARG,MF,Ind. Rivadavia,23-316,2001,5.6,253,1,39,133,90,12,253,18,15,83.3,3,16.7,126,842,481,15,12,4,16,5,149,32,Matches
256,Nicolás Fernández,ar ARG,"FW,MF",Belgrano,29-086,1996,12.2,364,7,27,158,181,40,364,22,13,59.1,9,40.9,203,1132,405,15,13,7,28,9,253,61,Matches
257,Rodrigo Fernández,uy URU,MF,Independiente,29-122,1996,2.7,192,11,57,127,8,1,192,4,2,50.0,2,50.0,104,565,351,4,0,0,3,3,102,3,Matches
258,Santiago Fernández,ar ARG,DF,Talleres,20-036,2005,5.0,300,42,180,116,5,1,300,0,0,,0,,142,730,413,3,3,1,2,1,188,0,Matches
259,Tomás Fernández,ar ARG,"MF,FW",San Martín de San Juan,26-270,1998,6.1,201,0,20,75,111,26,201,24,11,45.8,13,54.2,122,787,275,16,9,9,28,12,135,42,Matches
260,Gianluca Ferrari,ar ARG,DF,Atlé Tucumán,27-309,1997,12.0,558,78,296,242,24,17,558,3,0,0.0,3,100.0,238,1145,647,5,7,0,8,0,276,2,Matches
261,Cristian Ferreira,ar ARG,"FW,MF",Arg Juniors,25-235,1999,0.5,24,0,2,11,11,1,24,3,0,0.0,3,100.0,13,67,41,0,0,0,2,3,16,1,Matches
262,Lucas Ferreira,uy URU,DF,Defensa y Just,24-323,2000,11.5,641,108,355,266,25,12,641,6,4,66.7,2,33.3,267,1512,1083,11,3,0,9,0,311,5,Matches
263,Sebastián Ferreira,py PAR,FW,Rosario Central,27-081,1998,3.4,85,5,14,50,23,10,85,5,3,60.0,2,40.0,33,145,47,1,1,1,7,6,49,9,Matches
264,Héctor Fértoli,ar ARG,"MF,FW",Tigre,30-153,1994,4.9,248,0,23,124,106,15,248,19,9,47.4,9,47.4,143,863,356,9,8,2,16,9,158,28,Matches
265,Jose Florentín,py PAR,MF,Cen. Córdoba–SdE,28-304,1996,13.6,914,20,128,658,138,28,914,5,3,60.0,2,40.0,593,2770,1601,22,19,2,12,12,637,23,Matches
266,Santiago Flores,ar ARG,DF,Ind. Rivadavia,24-041,2001,0.9,39,6,26,13,0,0,39,0,0,,0,,11,63,44,1,0,0,0,0,22,0,Matches
267,Franco Fragapane,ar ARG,"MF,DF",Unión,32-088,1993,6.8,389,5,48,181,170,21,389,12,5,41.7,7,58.3,217,1261,622,15,18,4,8,8,262,51,Matches
268,Juan Franco Arrellaga,py PAR,DF,Instituto,33-084,1992,16.0,726,40,228,294,212,15,726,24,12,50.0,12,50.0,282,1683,881,26,16,6,21,14,299,42,Matches
269,Franco Pardo,ar ARG,DF,Unión,28-030,1997,13.7,870,95,439,405,31,15,870,6,3,50.0,3,50.0,468,2558,1597,16,6,1,8,2,516,3,Matches
270,Nicolás Freire,ar ARG,DF,Independiente,31-076,1994,1.0,64,5,32,31,1,0,64,0,0,,0,,53,318,236,4,0,0,1,0,51,0,Matches
271,Franco Frías,ar ARG,"FW,MF",Sarmiento,23-049,2002,5.7,150,2,10,75,66,16,150,7,2,28.6,5,71.4,81,439,184,6,5,1,21,7,110,32,Matches
272,Ramiro Funes Mori,ar ARG,DF,Estudiantes–LP,34-061,1991,4.0,308,37,130,163,16,1,308,1,0,0.0,1,100.0,163,787,542,7,3,0,1,2,186,1,Matches
273,Nazareno Funez,ar ARG,FW,Cen. Córdoba–SdE,23-337,2001,2.9,113,7,8,46,59,18,113,5,1,20.0,4,80.0,59,317,167,5,3,2,13,8,76,14,Matches
