Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Unnamed: 11_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 27_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
126,Daniele Padelli,it ITA,GK,Udinese,it Serie A,39-191,1985,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
127,Alex Padilla,es ESP,GK,Athletic Club,es La Liga,21-245,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0,Matches
128,Alberto Paleari,it ITA,GK,Torino,it Serie A,32-248,1992,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches
129,Alex Palmer,eng ENG,GK,Ipswich Town,eng Premier League,28-267,1996,11,11,990,11.0,27,2.45,63,38,58.7,1,3,7,0,0.0,1,1,0,0,0.0,Matches
130,Rui Patrício,pt POR,GK,Atalanta,it Serie A,37-078,1988,2,2,180,2.0,1,0.50,9,8,88.9,1,1,0,1,50.0,0,0,0,0,,Matches
131,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,26-063,1999,15,14,1306,14.5,18,1.24,52,34,69.2,6,3,5,3,21.4,2,2,0,0,0.0,Matches
132,Daniel Peretz,il ISR,GK,Bayern Munich,de Bundesliga,24-298,2000,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,,Matches
133,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,30-117,1995,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,Matches
134,Mattia Perin,it ITA,GK,Juventus,it Serie A,32-175,1992,5,5,450,5.0,3,0.60,16,13,81.3,2,3,0,3,60.0,0,0,0,0,,Matches
135,Lucas Perri,br BRA,GK,Lyon,fr Ligue 1,27-145,1997,30,30,2700,30.0,40,1.33,149,109,75.2,16,6,8,9,30.0,3,3,0,0,0.0,Matches
136,Đorđe Petrović,rs SRB,GK,Strasbourg,fr Ligue 1,25-208,1999,29,29,2610,29.0,33,1.14,140,108,80.0,15,8,6,10,34.5,6,5,1,0,16.7,Matches
137,Luca Philipp,de GER,GK,Hoffenheim,de Bundesliga,24-157,2000,6,6,540,6.0,15,2.50,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0,Matches
138,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31-058,1994,35,35,3150,35.0,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100.0,Matches
139,Semuel Pizzignacco,it ITA,GK,Monza,it Serie A,23-245,2001,5,4,384,4.3,7,1.64,18,11,61.1,0,2,2,1,25.0,0,0,0,0,,Matches
140,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,33-015,1992,24,24,2160,24.0,32,1.33,105,74,70.5,12,5,7,7,29.2,2,1,1,0,50.0,Matches
141,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31-048,1994,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0,Matches
142,Ionuț Radu,ro ROU,GK,Venezia,it Serie A,27-341,1997,12,12,1080,12.0,11,0.92,50,39,82.0,1,7,4,4,33.3,2,2,0,0,0.0,Matches
143,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,eng Premier League,23-203,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,Matches
144,Arnau Rafús,es ESP,GK,Valladolid,es La Liga,22-007,2003,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
145,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26-355,1998,27,27,2430,27.0,62,2.30,173,109,67.1,2,4,21,2,7.4,7,5,2,0,28.6,Matches
146,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,25-174,1999,11,10,966,10.7,11,1.02,21,10,52.4,5,2,3,4,40.0,1,1,0,0,0.0,Matches
147,David Raya,es ESP,GK,Arsenal,eng Premier League,29-231,1995,35,35,3150,35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0,Matches
148,Pepe Reina,es ESP,GK,Como,it Serie A,42-246,1982,10,10,900,10.0,12,1.20,35,23,68.6,2,4,4,2,20.0,1,1,0,0,0.0,Matches
