Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
112,Matisse Didden,be BEL,DF,Utrecht,23-209,2001,4.6,0,1,0,0.0,0.22,0.00,0.00,,8.1,0,0,0,0.3,0.3,0.33,-0.3,-0.3,Matches
113,Thomas Didillon,fr FRA,GK,Willem II,29-158,1995,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,Mitchell Dijks,nl NED,DF,Fortuna Sittard,32-085,1993,17.2,0,1,0,0.0,0.06,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
115,Elijah Dijkstra,nl NED,DF,AZ Alkmaar,18-273,2006,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,Julius Dirksen,nl NED,"DF,MF",Go Ahead Eag,22-092,2003,0.8,0,2,1,50.0,2.47,1.23,0.00,0.00,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
117,Nick Doodeman,nl NED,"FW,MF",Willem II,28-195,1996,14.5,0,5,2,40.0,0.35,0.14,0.00,0.00,16.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
118,Couhaib Driouech,ma MAR,FW,PSV Eindhoven,23-018,2002,3.0,2,13,4,30.8,4.29,1.32,0.15,0.50,15.2,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Matches
119,Joel Drommel,nl NED,GK,PSV Eindhoven,28-170,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Laros Duarte,cv CPV,MF,Groningen,28-066,1997,0.2,0,1,1,100.0,4.50,4.50,0.00,0.00,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
121,Oliver Edvardsen,no NOR,FW,Ajax,26-047,1999,3.2,4,11,5,45.5,3.41,1.55,0.36,0.80,13.7,0,0,0,2.4,2.4,0.22,+1.6,+1.6,Matches
122,Oliver Edvardsen,no NOR,"FW,MF",Go Ahead Eag,26-047,1999,9.9,8,31,12,38.7,3.14,1.22,0.26,0.67,17.4,0,0,0,6.1,6.1,0.20,+1.9,+1.9,Matches
123,Victor Edvardsen,se SWE,"FW,MF",Go Ahead Eag,29-111,1996,27.4,8,60,22,36.7,2.19,0.80,0.13,0.36,15.5,0,0,0,9.1,9.1,0.15,-1.1,-1.1,Matches
124,Espen van Ee,nl NED,MF,Heerenveen,21-304,2003,23.5,1,35,9,25.7,1.49,0.38,0.03,0.11,24.2,1,0,0,1.4,1.4,0.04,-0.4,-0.4,Matches
