Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
69,Kevin Balanta,co COL,DF,Tijuana,28-007,1997,7.6,551,54,304,238,17,4,551,4,2,50.0,2,50.0,315,1427,848,7,6,0,8,3,336,1,Matches
70,Fidel Barajas,mx MEX,"MF,FW",Guadalajara,19-030,2006,1.0,61,0,1,20,40,3,61,7,2,28.6,5,71.4,45,381,150,5,3,2,4,1,46,23,Matches
71,Víctor Barajas,mx MEX,DF,León,22-053,2003,0.0,5,0,0,1,4,0,5,1,1,100.0,0,0.0,3,39,21,2,0,0,0,0,4,3,Matches
72,Diego Barbosa,mx MEX,DF,Toluca,28-222,1996,10.8,685,15,229,332,130,13,685,22,10,45.5,12,54.5,330,1384,547,11,11,3,13,10,360,45,Matches
73,Diego Barbosa,mx MEX,DF,Tijuana,28-222,1996,2.7,148,5,53,70,26,0,148,7,5,71.4,2,28.6,64,297,127,2,3,0,5,2,73,7,Matches
74,Jaine Barreiro,co COL,DF,León,30-320,1994,33.7,2180,305,1229,892,90,43,2180,8,2,25.0,6,75.0,1191,6600,3838,20,15,1,16,6,1327,8,Matches
75,Pablo Barrera,mx MEX,"MF,FW",Querétaro,37-318,1987,23.4,1063,9,140,460,481,35,1062,53,14,26.4,36,67.9,584,3514,1492,42,38,7,42,20,711,131,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Sergio Barreto,ar ARG,DF,Pachuca,26-015,1999,18.2,993,102,560,418,18,12,993,2,1,50.0,1,50.0,452,1769,932,4,0,0,7,2,556,0,Matches
77,Bruno Barticciotto,cl CHI,FW,Santos,23-363,2001,7.4,248,10,16,110,122,39,248,11,8,72.7,3,27.3,147,745,207,10,7,7,19,16,177,48,Matches
78,Abraham Bass,mx MEX,MF,Atlas,23-269,2001,0.1,3,0,1,1,1,0,3,0,0,,0,,1,1,0,0,0,0,1,0,2,1,Matches
79,Borja Bastón,es ESP,FW,Pachuca,32-253,1992,3.9,92,10,14,45,34,11,91,4,0,0.0,4,100.0,47,146,35,1,3,0,6,2,55,10,Matches
80,Alán Bautista,mx MEX,"MF,FW",Pachuca,22-180,2002,9.9,584,13,80,342,171,14,584,19,8,42.1,11,57.9,341,1928,1006,21,16,3,22,12,370,48,Matches
81,Paul Bellón,mx MEX,DF,León,27-335,1997,28.3,1558,212,898,643,27,11,1558,4,2,50.0,2,50.0,787,3270,1548,8,6,0,10,5,979,1,Matches
82,Fernando Beltrán,mx MEX,"MF,FW",Guadalajara,26-362,1998,20.4,1261,14,145,791,343,22,1261,61,26,42.6,32,52.5,860,4728,2096,53,36,4,41,22,959,83,Matches
83,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,28-010,1997,14.2,773,4,59,373,366,43,772,67,23,34.3,41,61.2,492,3129,1502,55,38,17,42,28,531,85,Matches
84,Darío Benedetto,ar ARG,FW,Querétaro,34-353,1990,4.7,159,5,10,63,87,29,159,4,2,50.0,2,50.0,83,413,169,6,3,3,16,3,112,30,Matches
85,Pablo Bennevendo Peña,mx MEX,DF,UNAM,25-122,2000,27.0,1552,106,563,740,264,26,1552,30,20,66.7,9,30.0,721,3295,1657,22,25,3,40,12,819,79,Matches
86,Jorge Berlanga,mx MEX,DF,Pachuca,21-291,2003,11.2,592,47,264,272,62,4,592,4,1,25.0,3,75.0,285,1269,531,6,6,1,5,2,321,10,Matches
87,Germán Berterame,mx MEX,FW,Monterrey,26-173,1998,26.0,776,14,39,373,377,130,776,25,11,44.0,13,52.0,454,2385,1042,34,27,12,57,19,539,138,Matches
88,Unai Bilbao,es ESP,DF,Tijuana,31-090,1994,26.2,2073,318,1161,870,52,19,2073,5,4,80.0,1,20.0,1143,5304,2589,11,6,0,9,0,1310,4,Matches
89,Alfonso Blanco Antúnez,mx MEX,GK,León,37-278,1987,26.0,1004,884,995,10,1,0,1004,0,0,,0,,519,3009,1737,0,0,0,2,0,384,0,Matches
90,Domingo Blanco,ar ARG,"FW,MF",Tijuana,30-013,1995,16.7,745,8,61,216,472,78,745,73,29,39.7,41,56.2,482,2975,1484,58,21,37,57,35,502,159,Matches
91,Rodrigo Bogarín,py PAR,"MF,FW",Querétaro,27-346,1997,7.9,342,22,88,190,66,3,342,7,4,57.1,3,42.9,161,832,359,6,4,0,8,5,209,7,Matches
92,Mateusz Bogusz,pl POL,"MF,FW",Cruz Azul,23-256,2001,8.0,350,5,26,143,190,30,350,20,5,25.0,15,75.0,245,1539,556,16,22,1,18,12,270,69,Matches
93,Franck Boli,ci CIV,FW,Atlético,31-149,1993,9.0,243,6,14,101,134,56,242,28,6,21.4,21,75.0,156,1009,387,16,14,14,28,19,189,50,Matches
94,Léo Bonatini,br BRA,FW,Atlético,31-038,1994,11.8,373,9,23,183,168,43,372,17,5,29.4,11,64.7,206,877,350,6,6,4,26,15,270,50,Matches
95,Cristian Borja,co COL,DF,América,32-076,1993,14.7,944,24,271,435,251,19,944,14,9,64.3,5,35.7,534,2769,1563,38,25,6,18,12,571,74,Matches
96,Frank Boya,cm CMR,MF,Tijuana,28-308,1996,8.2,417,17,118,251,54,15,417,6,5,83.3,1,16.7,195,768,353,5,9,1,9,4,250,9,Matches
97,Juan Brigido,mx MEX,"FW,MF",Pachuca,23-218,2001,0.6,41,1,4,21,17,0,41,1,1,100.0,0,0.0,33,246,148,4,6,0,3,1,32,3,Matches
98,Antonio Briseño,mx MEX,DF,Toluca,31-089,1994,3.2,276,33,151,123,3,2,276,1,1,100.0,0,0.0,194,754,341,0,0,0,0,0,203,0,Matches
99,Antonio Briseño,mx MEX,DF,Guadalajara,31-089,1994,6.0,321,47,177,138,7,6,321,2,1,50.0,0,0.0,192,750,421,1,0,0,5,0,190,0,Matches
100,Isaác Brizuela,mx MEX,"MF,DF",Guadalajara,34-250,1990,1.4,116,3,22,43,53,11,116,7,3,42.9,4,57.1,75,416,202,6,1,3,2,0,73,15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Juan Brunetta,ar ARG,MF,UANL,27-358,1997,24.7,1517,9,99,757,694,91,1517,99,48,48.5,49,49.5,947,6110,3000,102,68,27,81,51,1136,163,Matches
102,Gustavo Cabral,ar ARG,DF,Pachuca,39-203,1985,12.1,659,67,312,333,16,9,659,3,0,0.0,2,66.7,366,1547,772,5,5,0,7,5,372,2,Matches
