Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 30_level_0
253,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,31-022,1994,12,617,51,20.2,6.9,8,67,3,4,20,16,1.67,11,14,-3,-0.44,-1.03,11.3,9.4,+1.9,+0.28,-0.32,Matches
254,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,25-250,1999,27,934,35,33.5,10.4,11,60,0,16,17,4,1.41,13,13,0,0.00,0.00,12.9,15.9,-3.0,-0.29,+0.22,Matches
255,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,es La Liga,20-194,2004,12,839,70,27.4,9.3,10,77,3,2,35,1,0.75,7,16,-9,-0.97,-0.68,7.7,14.0,-6.2,-0.67,+0.16,Matches
256,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-023,1991,21,609,29,20.5,6.8,5,60,0,16,19,6,1.50,13,5,+8,+1.18,+1.14,12.4,8.5,+3.8,+0.57,+0.36,Matches
257,Mitchel Bakker,nl NED,MF,Atalanta,it Serie A,24-318,2000,1,22,22,0.7,0.2,0,,0,1,22,0,3.00,0,0,0,0.00,-1.07,0.2,0.6,-0.4,-1.67,-2.39,Matches
258,Mitchel Bakker,nl NED,"FW,DF",Lille,fr Ligue 1,24-318,2000,22,1088,49,39.0,12.1,13,70,3,9,20,2,1.64,20,15,+5,+0.41,-0.22,19.7,15.5,+4.2,+0.34,+0.01,Matches
259,Darryl Bakola,fr FRA,"DF,MF",Marseille,fr Ligue 1,17-155,2007,2,14,7,0.5,0.2,0,,0,2,7,9,1.00,0,3,-3,-19.29,-20.13,0.0,0.4,-0.4,-2.60,-3.04,Matches
260,Ridle Baku,de GER,"FW,MF",Wolfsburg,de Bundesliga,27-026,1998,15,1170,78,40.6,13.0,14,82,8,1,26,0,1.40,27,23,+4,+0.31,+0.47,19.4,22.5,-3.1,-0.24,-0.12,Matches
261,Ridle Baku,de GER,"DF,MF",RB Leipzig,de Bundesliga,27-026,1998,17,1173,69,40.7,13.0,14,79,6,3,21,0,1.35,20,19,+1,+0.08,-0.19,16.3,20.1,-3.8,-0.29,-0.24,Matches
262,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,22-251,2002,28,2335,83,81.1,25.9,27,86,11,1,25,0,1.71,45,33,+12,+0.46,+0.13,37.0,42.2,-5.2,-0.20,-0.04,Matches
263,Jon Balda,es ESP,DF,Real Sociedad,es La Liga,23-014,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
264,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,22-042,2003,27,792,29,25.9,8.8,5,64,0,22,21,7,1.74,15,8,+7,+0.80,+0.40,14.3,8.2,+6.0,+0.68,+0.41,Matches
265,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-198,2003,28,2080,74,68.0,23.1,25,81,13,3,19,3,2.25,62,19,+43,+1.86,+0.48,56.5,22.5,+34.0,+1.47,+0.27,Matches
266,Keita Baldé,sn SEN,FW,Monza,it Serie A,30-057,1995,8,464,58,15.2,5.2,6,72,2,2,18,0,0.25,4,12,-8,-1.55,-0.65,3.6,6.9,-3.3,-0.64,+0.01,Matches
267,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-121,2004,30,2313,77,75.6,25.7,27,83,12,3,27,2,1.57,46,35,+11,+0.43,+1.63,40.9,32.8,+8.1,+0.31,+0.76,Matches
268,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-098,1999,24,2003,83,71.8,22.3,24,83,21,0,,1,1.92,49,28,+21,+0.94,+0.71,45.9,28.3,+17.6,+0.79,+1.27,Matches
269,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-123,1992,21,896,43,29.3,10.0,8,86,7,13,16,13,1.67,7,9,-2,-0.20,-0.03,10.0,15.8,-5.8,-0.58,-0.64,Matches
270,Fodé Ballo-Touré,sn SEN,DF,Le Havre,fr Ligue 1,28-121,1997,7,386,55,13.8,4.3,6,60,2,1,25,1,0.86,7,11,-4,-0.93,+0.08,3.1,9.5,-6.4,-1.50,-0.91,Matches
271,Botond Balogh,hu HUN,DF,Parma,it Serie A,22-332,2002,26,1859,72,59.0,20.7,21,81,15,5,33,7,0.96,24,29,-5,-0.24,+0.39,23.2,37.1,-13.9,-0.67,-0.65,Matches
272,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23-305,2001,13,615,47,21.4,6.8,7,76,3,6,14,1,2.08,14,6,+8,+1.17,+0.53,13.5,6.0,+7.5,+1.09,-0.14,Matches
