Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
164,Gabriel,br BRA,MF,Mirassol,35-119,1990,1.6,1,2,2,100.0,1.23,1.23,0.50,0.50,8.8,0,0,0,0.7,0.7,0.34,+0.3,+0.3,Matches
165,Gabriel,br BRA,GK,Vitória,32-220,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
166,Gabriel,br BRA,MF,RB Bragantino,32-299,1992,4.4,0,2,0,0.0,0.45,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
167,Victor Gabriel,br BRA,DF,Internacional,21-007,2004,2.0,2,3,2,66.7,1.50,1.00,0.67,1.00,8.2,0,0,0,0.8,0.8,0.27,+1.2,+1.2,Matches
168,Antonio Galeano,py PAR,FW,Ceará,25-044,2000,6.2,0,11,4,36.4,1.76,0.64,0.00,0.00,23.3,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
169,Emerson Galego,br BRA,"FW,MF",Juventude,25-268,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
170,Mateo Gamarra,py PAR,DF,Cruzeiro,24-197,2000,1.7,0,1,0,0.0,0.58,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
171,Ganso,br BRA,MF,Fluminense,35-205,1989,2.7,0,3,0,0.0,1.12,0.00,0.00,,19.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
172,Maurício Garcez,br BRA,"MF,FW",Juventude,28-050,1997,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
173,Benjamín Garré,ar ARG,"FW,MF",Vasco da Gama,24-298,2000,2.9,0,2,0,0.0,0.68,0.00,0.00,,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
