Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
119,Ben Cabango,wls WAL,DF,Swansea City,24-339,2000,44.8,84,57,58,23,3,33,51,64.7,18,51,33,18,41,125,275,3,Matches
120,Tyrese Campbell,eng ENG,FW,Sheffield Utd,25-127,1999,17.6,5,2,1,2,2,0,2,0.0,2,13,3,10,0,5,11,0,Matches
121,Thomas Cannon,ie IRL,FW,Stoke City,22-127,2002,20.6,13,8,1,3,9,3,10,30.0,7,12,5,7,2,15,23,0,Matches
122,Thomas Cannon,ie IRL,FW,Sheffield Utd,22-127,2002,7.6,1,0,0,0,1,1,3,33.3,2,6,2,4,0,1,5,0,Matches
123,Todd Cantwell,eng ENG,"MF,FW",Blackburn,27-066,1998,27.5,59,41,25,23,11,23,46,50.0,23,25,3,22,20,79,22,0,Matches
124,Theo Carroll,eng ENG,MF,Preston,17-317,2007,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
125,Hayden Carter,eng ENG,DF,Blackburn,25-138,1999,15.1,24,13,17,6,1,17,32,53.1,15,20,12,8,19,43,65,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Eiran Cashin,ie IRL,DF,Derby County,23-176,2001,19.8,51,33,26,22,3,30,46,65.2,16,30,14,16,43,94,97,0,Matches
127,Žan Celar,si SVN,FW,QPR,26-051,1999,10.5,4,2,1,2,1,1,4,25.0,3,2,1,1,0,4,10,0,Matches
128,Ilias Chair,ma MAR,"MF,FW",QPR,27-186,1997,18.9,13,9,8,1,4,6,23,26.1,17,20,1,19,5,18,5,0,Matches
129,Giorgi Chakvetadze,ge GEO,"MF,FW",Watford,25-248,1999,36.5,39,32,8,23,8,18,39,46.2,21,17,2,15,10,49,10,1,Matches
130,Nathaniel Chalobah,eng ENG,MF,Sheffield Weds,30-143,1994,4.9,9,4,6,2,1,7,10,70.0,3,4,2,2,12,21,19,0,Matches
131,Calum Chambers,eng ENG,"DF,MF",Cardiff City,30-104,1995,39.0,74,48,34,34,6,32,49,65.3,17,48,26,22,52,126,148,4,Matches
132,Samuel Chambers,eng ENG,FW,Leeds United,17-259,2007,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
133,Pierce Charles,nir NIR,GK,Sheffield Weds,19-287,2005,8.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,2,Matches
134,Shea Charles,nir NIR,"MF,DF",Sheffield Weds,21-180,2003,40.3,108,57,48,47,13,53,83,63.9,30,55,18,37,59,167,75,0,Matches
135,Tawanda Chirewa,zw ZIM,MF,Derby County,21-205,2003,1.7,7,5,2,4,1,2,5,40.0,3,1,0,1,1,8,0,0,Matches
136,Tahith Chong,nl NED,"MF,DF",Luton Town,25-151,1999,22.5,23,13,9,8,6,11,25,44.0,14,23,3,20,8,31,20,1,Matches
137,Hamza Choudhury,bd BAN,"MF,DF",Sheffield Utd,27-215,1997,12.3,34,23,19,12,3,15,24,62.5,9,15,6,9,28,62,35,1,Matches
138,Benjamin Chrisene,eng ENG,DF,Norwich City,21-112,2004,12.8,33,23,22,11,0,14,23,60.9,9,14,5,9,10,43,22,0,Matches
139,Cyrus Christie,ie IRL,DF,Swansea City,32-216,1992,3.1,2,1,2,0,0,1,1,100.0,0,4,1,3,3,5,21,1,Matches
140,Dennis Cirkin,eng ENG,DF,Sunderland,23-028,2002,30.4,91,50,50,33,8,45,74,60.8,29,41,14,27,43,134,104,0,Matches
141,Ibrahim Cissoko,nl NED,"FW,MF",Plymouth Argyle,22-039,2003,7.3,15,5,12,2,1,6,11,54.5,5,7,0,7,4,19,4,0,Matches
142,Ibrahim Cissoko,nl NED,"FW,MF",Sheffield Weds,22-039,2003,0.6,0,0,0,0,0,0,1,0.0,1,4,0,4,1,1,0,0,Matches
143,Jordan Clark,eng ENG,MF,Luton Town,31-224,1993,35.9,56,37,24,24,8,26,66,39.4,40,39,15,24,30,86,51,1,Matches
144,Harry Clarke,eng ENG,DF,Sheffield Utd,24-063,2001,5.2,10,6,6,2,2,4,7,57.1,3,8,5,3,4,14,23,0,Matches
