Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Alexandre Brito,pt POR,"MF,DF",Sporting CP,19-290,2005,1.0,1,1.01,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Rafael Brito,pt POR,MF,Casa Pia,23-106,2002,11.1,16,1.44,14,1,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
78,Tiago Brito,pt POR,MF,Estoril,21-019,2004,0.8,2,2.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Bruma,pt POR,"FW,MF",Braga,30-193,1994,13.4,55,4.09,34,2,8,8,3,0,8,0.60,6,0,1,0,1,0,Matches
80,Bruma,pt POR,"FW,MF",Benfica,30-193,1994,5.0,22,4.43,16,0,3,2,1,0,4,0.81,3,0,1,0,0,0,Matches
81,Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,31-220,1993,18.3,11,0.60,8,0,0,3,0,0,3,0.16,2,0,0,1,0,0,Matches
82,Leonel Bucca,ar ARG,"MF,FW",Estrela,26-046,1999,12.8,29,2.27,22,0,4,2,1,0,4,0.31,2,0,1,0,1,0,Matches
83,Leonardo Buta,pt POR,DF,Moreirense,22-334,2002,4.6,7,1.51,5,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Adrián Butzke,es ESP,FW,Nacional,26-036,1999,5.4,19,3.53,17,0,0,2,0,0,2,0.37,1,0,0,1,0,0,Matches
85,Arthur Cabral,br BRA,FW,Benfica,27-010,1998,4.1,8,1.94,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Daniel Cabral,br BRA,MF,Estrela,22-356,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Jovane Cabral,cv CPV,"FW,MF",Estrela,26-325,1998,10.2,28,2.74,20,5,1,1,1,0,2,0.20,1,0,0,0,1,0,Matches
88,Lucas Calegari,br BRA,DF,Famalicão,23-067,2002,16.5,22,1.33,18,2,2,0,0,0,1,0.06,1,0,0,0,0,0,Matches
89,Diogo Calila,pt POR,"MF,DF",Santa Clara,26-207,1998,19.1,37,1.93,30,1,2,3,1,0,3,0.16,3,0,0,0,0,0,Matches
90,Ibrahima Camará,gn GUI,MF,Boavista,26-100,1999,14.8,21,1.42,17,3,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
91,André Candeias,pt POR,"FW,MF",Farense,22-105,2003,0.4,3,7.71,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Lazar Carević,me MNE,GK,Famalicão,26-050,1999,18.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Zé Carlos,pt POR,"MF,DF",Vitória,23-187,2001,1.4,6,4.43,3,1,1,0,1,0,1,0.74,1,0,0,0,0,0,Matches
94,Zé Carlos,pt POR,MF,Farense,23-187,2001,7.4,19,2.55,11,1,1,0,4,2,0,0.00,0,0,0,0,0,0,Matches
95,Zé Carlos,pt POR,DF,Gil Vicente FC,26-278,1998,28.1,41,1.46,34,2,1,1,2,1,2,0.07,1,0,0,1,0,0,Matches
96,Álvaro Carreras,es ESP,DF,Benfica,22-043,2003,28.6,78,2.73,66,4,3,2,2,1,12,0.42,9,1,1,1,0,0,Matches
97,João Carvalho,pt POR,"MF,FW",Estoril,28-057,1997,24.0,69,2.88,54,4,7,2,1,1,5,0.21,4,0,1,0,0,0,Matches
98,Pedro Carvalho,pt POR,"DF,MF",Estoril,22-080,2003,7.1,15,2.11,12,0,2,0,0,1,0,0.00,0,0,0,0,0,0,Matches
99,Vitor Carvalho,br BRA,MF,Braga,27-343,1997,16.5,26,1.58,23,0,0,2,1,0,4,0.24,4,0,0,0,0,0,Matches
100,Facundo Cáseres,ar ARG,MF,Gil Vicente FC,23-342,2001,13.8,18,1.31,13,1,0,1,2,1,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Cassiano,br BRA,FW,Casa Pia,35-323,1989,20.0,31,1.55,20,1,2,4,3,1,3,0.15,1,0,0,1,0,1,Matches
102,Jesús Castillo,pe PER,MF,Gil Vicente FC,23-328,2001,9.1,16,1.75,13,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
