Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
195,García,br BRA,DF,Nacional,23-121,2002,30.6,1861,98,631,811,440,12,1861,65,34,52.3,20,30.8,856,4465,2446,56,53,1,26,17,970,107,Matches
196,Fabrício Garcia,cv CPV,"FW,DF",Estoril,24-001,2001,14.1,547,6,85,226,249,45,547,56,22,39.3,29,51.8,330,2510,1414,52,40,19,46,29,363,96,Matches
197,Santiago García,es ESP,MF,Gil Vicente FC,23-249,2001,15.1,808,33,182,435,200,31,808,33,12,36.4,18,54.5,391,1826,878,14,16,3,33,22,498,44,Matches
198,Bruno Gaspar,ao ANG,DF,Vitória,32-014,1993,9.6,548,17,134,245,172,17,548,3,0,0.0,3,100.0,218,782,393,14,8,1,10,3,285,62,Matches
199,Mory Gbane,ci CIV,"MF,DF",Gil Vicente FC,24-131,2000,16.3,947,93,392,487,73,19,947,17,11,64.7,6,35.3,446,2003,880,17,8,3,22,11,529,10,Matches
200,Geovanny,pt POR,MF,Farense,20-295,2004,1.8,55,1,16,26,13,2,55,1,0,0.0,1,100.0,23,77,19,0,0,0,3,3,24,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
201,André Geraldes,pt POR,"MF,DF",Casa Pia,34-003,1991,12.9,601,59,211,246,147,7,601,10,4,40.0,6,60.0,266,1282,678,14,8,3,15,3,301,43,Matches
202,Ismaël Gharbi,es ESP,"FW,MF",Braga,21-025,2004,11.5,701,5,50,259,401,40,701,53,21,39.6,26,49.1,416,2147,1049,32,26,12,35,22,475,113,Matches
203,Marco van Ginkel,nl NED,"FW,MF",Boavista,32-155,1992,6.1,245,8,39,143,64,18,244,2,1,50.0,1,50.0,104,441,160,3,4,0,12,5,174,16,Matches
204,José Gomes,pt POR,DF,Nacional,28-289,1996,25.0,1248,99,494,444,317,41,1248,32,12,37.5,20,62.5,454,2268,1188,31,23,8,35,14,578,106,Matches
205,Pedro gomes,pt POR,DF,Boavista,21-335,2003,15.9,683,59,270,328,90,7,683,13,9,69.2,2,15.4,278,1016,512,2,3,0,13,2,306,13,Matches
206,Vítor Gomes,pt POR,MF,Rio Ave,37-131,1987,0.4,37,7,11,16,10,0,37,0,0,,0,,17,75,39,0,2,0,0,0,18,1,Matches
207,William Gomes,br BRA,"MF,FW",Porto,19-051,2006,1.5,96,0,14,34,51,7,96,10,4,40.0,4,40.0,42,236,139,4,5,2,3,1,50,17,Matches
208,Victor Gomez,es ESP,DF,Braga,25-034,2000,19.3,1422,45,370,648,411,17,1422,9,3,33.3,5,55.6,677,2923,1510,35,25,1,13,2,861,148,Matches
209,Nuno Gonçalo Moreira,pt POR,"FW,MF",Casa Pia,25-323,1999,16.6,733,12,85,364,301,38,733,46,21,45.7,22,47.8,434,2381,1080,40,20,14,39,19,507,89,Matches
210,João Gonçalves,pt POR,GK,Boavista,24-181,2000,4.0,116,94,115,1,0,0,116,0,0,,0,,47,213,91,0,0,0,0,0,34,0,Matches
211,Pedro Gonçalves,pt POR,"FW,MF",Sporting CP,26-311,1998,7.9,451,0,25,159,269,50,451,30,10,33.3,19,63.3,261,1081,496,18,15,10,23,14,316,66,Matches
212,Cristo González,es ESP,MF,Arouca,27-193,1997,2.0,74,0,7,31,37,3,74,4,2,50.0,2,50.0,35,150,79,3,3,1,7,6,56,10,Matches
213,Juan González,co COL,FW,Estrela,20-282,2004,0.2,14,0,6,3,5,0,14,0,0,,0,,3,2,0,0,0,0,0,0,7,0,Matches
214,Mario González,es ESP,FW,Famalicão,29-069,1996,6.4,166,6,10,79,79,20,166,5,0,0.0,5,100.0,81,276,83,3,3,1,17,6,119,31,Matches
215,Nicolás González,es ESP,MF,Porto,23-122,2002,16.0,1062,16,123,670,279,31,1062,17,12,70.6,3,17.6,615,3025,1433,22,25,2,16,16,788,42,Matches
216,Jean Gorby,fr FRA,MF,Braga,22-284,2002,13.3,952,25,200,658,104,2,952,13,5,38.5,7,53.8,582,2737,1108,4,11,0,14,5,681,11,Matches
217,João Goulart Silva,pt POR,DF,Casa Pia,25-098,2000,29.5,1574,200,913,617,58,22,1574,19,11,57.9,6,31.6,891,4097,2140,16,5,0,18,2,980,2,Matches
218,Tiago Gouveia,pt POR,"FW,DF",Benfica,23-321,2001,0.9,67,0,7,17,44,13,67,8,5,62.5,3,37.5,35,230,86,5,2,2,1,1,43,12,Matches
219,Pablo Gozalbez,es ESP,MF,Arouca,24-005,2001,7.2,304,3,40,135,134,25,304,12,6,50.0,6,50.0,172,751,384,9,6,4,22,9,191,45,Matches
